Name                                                                                                                             Owner                                                                                                                            Object_type
sp_MSscript_sync_del_proc                                                                                                        sys                                                                                                                              stored procedure
sp_MSscript_sync_del_trig                                                                                                        sys                                                                                                                              stored procedure
sp_MSscript_sync_ins_proc                                                                                                        sys                                                                                                                              stored procedure
sp_MSscript_sync_ins_trig                                                                                                        sys                                                                                                                              stored procedure
sp_MSscript_sync_upd_proc                                                                                                        sys                                                                                                                              stored procedure
sp_MSscript_sync_upd_trig                                                                                                        sys                                                                                                                              stored procedure
sp_MSscriptcustomdelproc                                                                                                         sys                                                                                                                              stored procedure
sp_MSscriptcustominsproc                                                                                                         sys                                                                                                                              stored procedure
sp_MSscriptcustomupdproc                                                                                                         sys                                                                                                                              stored procedure
sp_MSscriptdatabase                                                                                                              sys                                                                                                                              stored procedure
sp_MSscriptdb_worker                                                                                                             sys                                                                                                                              stored procedure
sp_MSscriptforeignkeyrestore                                                                                                     sys                                                                                                                              stored procedure
sp_MSscriptsubscriberprocs                                                                                                       sys                                                                                                                              stored procedure
sp_MSscriptviewproc                                                                                                              sys                                                                                                                              stored procedure
sp_MSsendtosqlqueue                                                                                                              sys                                                                                                                              stored procedure
sp_MSset_dynamic_filter_options                                                                                                  sys                                                                                                                              stored procedure
sp_MSset_logicalrecord_metadata                                                                                                  sys                                                                                                                              stored procedure
sp_MSset_new_identity_range                                                                                                      sys                                                                                                                              stored procedure
sp_MSset_oledb_prop                                                                                                              sys                                                                                                                              stored procedure
sp_MSset_snapshot_xact_seqno                                                                                                     sys                                                                                                                              stored procedure
sp_MSset_sub_guid                                                                                                                sys                                                                                                                              stored procedure
sp_MSset_subscription_properties                                                                                                 sys                                                                                                                              stored procedure
sp_MSsetaccesslist                                                                                                               sys                                                                                                                              stored procedure
sp_MSsetalertinfo                                                                                                                sys                                                                                                                              stored procedure
sp_MSsetartprocs                                                                                                                 sys                                                                                                                              stored procedure
sp_MSsetbit                                                                                                                      sys                                                                                                                              stored procedure
sp_MSsetconflictscript                                                                                                           sys                                                                                                                              stored procedure
sp_MSsetconflicttable                                                                                                            sys                                                                                                                              stored procedure
sp_MSsetcontext_bypasswholeddleventbit                                                                                           sys                                                                                                                              stored procedure
sp_MSsetcontext_replagent                                                                                                        sys                                                                                                                              stored procedure
sp_MSsetgentozero                                                                                                                sys                                                                                                                              stored procedure
sp_MSsetlastrecgen                                                                                                               sys                                                                                                                              stored procedure
sp_MSsetlastsentgen                                                                                                              sys                                                                                                                              stored procedure
sp_MSsetreplicainfo                                                                                                              sys                                                                                                                              stored procedure
sp_MSsetreplicaschemaversion                                                                                                     sys                                                                                                                              stored procedure
sp_MSsetreplicastatus                                                                                                            sys                                                                                                                              stored procedure
sp_MSsetrowmetadata                                                                                                              sys                                                                                                                              stored procedure
sp_MSSetServerProperties                                                                                                         sys                                                                                                                              stored procedure
sp_MSsetsubscriberinfo                                                                                                           sys                                                                                                                              stored procedure
sp_MSsettopology                                                                                                                 sys                                                                                                                              stored procedure
sp_MSsetup_identity_range                                                                                                        sys                                                                                                                              stored procedure
sp_MSsetup_partition_groups                                                                                                      sys                                                                                                                              stored procedure
sp_MSsetup_use_partition_groups                                                                                                  sys                                                                                                                              stored procedure
sp_MSsetupbelongs                                                                                                                sys                                                                                                                              stored procedure
sp_MSsetupnosyncsubwithlsnatdist                                                                                                 sys                                                                                                                              stored procedure
sp_MSsetupnosyncsubwithlsnatdist_cleanup                                                                                         sys                                                                                                                              stored procedure
sp_MSsetupnosyncsubwithlsnatdist_helper                                                                                          sys                                                                                                                              stored procedure
sp_MSSharedFixedDisk                                                                                                             sys                                                                                                                              stored procedure
sp_MSSQLDMO70_version                                                                                                            sys                                                                                                                              stored procedure
sp_MSSQLDMO80_version                                                                                                            sys                                                                                                                              stored procedure
sp_MSSQLDMO90_version                                                                                                            sys                                                                                                                              stored procedure
sp_MSSQLOLE_version                                                                                                              sys                                                                                                                              stored procedure
sp_MSSQLOLE65_version                                                                                                            sys                                                                                                                              stored procedure
sp_MSstartdistribution_agent                                                                                                     sys                                                                                                                              stored procedure
sp_MSstartmerge_agent                                                                                                            sys                                                                                                                              stored procedure
sp_MSstartsnapshot_agent                                                                                                         sys                                                                                                                              stored procedure
sp_MSstopdistribution_agent                                                                                                      sys                                                                                                                              stored procedure
sp_MSstopmerge_agent                                                                                                             sys                                                                                                                              stored procedure
sp_MSstopsnapshot_agent                                                                                                          sys                                                                                                                              stored procedure
sp_MSsub_check_identity                                                                                                          sys                                                                                                                              stored procedure
sp_MSsub_set_identity                                                                                                            sys                                                                                                                              stored procedure
sp_MSsubscription_status                                                                                                         sys                                                                                                                              stored procedure
sp_MSsubscriptionvalidated                                                                                                       sys                                                                                                                              stored procedure
sp_MStablechecks                                                                                                                 sys                                                                                                                              stored procedure
sp_MStablekeys                                                                                                                   sys                                                                                                                              stored procedure
sp_MStablerefs                                                                                                                   sys                                                                                                                              stored procedure
sp_MStablespace                                                                                                                  sys                                                                                                                              stored procedure
sp_MStestbit                                                                                                                     sys                                                                                                                              stored procedure
sp_MStran_ddlrepl                                                                                                                sys                                                                                                                              stored procedure
sp_MStran_is_snapshot_required                                                                                                   sys                                                                                                                              stored procedure
sp_MStrypurgingoldsnapshotdeliveryprogress                                                                                       sys                                                                                                                              stored procedure
sp_MSuniquename                                                                                                                  sys                                                                                                                              stored procedure
sp_MSunmarkifneeded                                                                                                              sys                                                                                                                              stored procedure
sp_MSunmarkreplinfo                                                                                                              sys                                                                                                                              stored procedure
sp_MSunmarkschemaobject                                                                                                          sys                                                                                                                              stored procedure
sp_MSunregistersubscription                                                                                                      sys                                                                                                                              stored procedure
sp_MSupdate_agenttype_default                                                                                                    sys                                                                                                                              stored procedure
sp_MSupdate_singlelogicalrecordmetadata                                                                                          sys                                                                                                                              stored procedure
sp_MSupdate_subscriber_info                                                                                                      sys                                                                                                                              stored procedure
sp_MSupdate_subscriber_schedule                                                                                                  sys                                                                                                                              stored procedure
sp_MSupdate_subscriber_tracer_history                                                                                            sys                                                                                                                              stored procedure
sp_MSupdate_subscription                                                                                                         sys                                                                                                                              stored procedure
sp_MSupdate_tracer_history                                                                                                       sys                                                                                                                              stored procedure
sp_MSupdatecachedpeerlsn                                                                                                         sys                                                                                                                              stored procedure
sp_MSupdategenerations_afterbcp                                                                                                  sys                                                                                                                              stored procedure
sp_MSupdategenhistory                                                                                                            sys                                                                                                                              stored procedure
sp_MSupdateinitiallightweightsubscription                                                                                        sys                                                                                                                              stored procedure
sp_MSupdatelastsyncinfo                                                                                                          sys                                                                                                                              stored procedure
sp_MSupdatepeerlsn                                                                                                               sys                                                                                                                              stored procedure
sp_MSupdaterecgen                                                                                                                sys                                                                                                                              stored procedure
sp_MSupdatereplicastate                                                                                                          sys                                                                                                                              stored procedure
sp_MSupdatesysmergearticles                                                                                                      sys                                                                                                                              stored procedure
sp_MSuplineageversion                                                                                                            sys                                                                                                                              stored procedure
sp_MSuploadsupportabilitydata                                                                                                    sys                                                                                                                              stored procedure
sp_MSuselightweightreplication                                                                                                   sys                                                                                                                              stored procedure
sp_MSvalidate_dest_recgen                                                                                                        sys                                                                                                                              stored procedure
sp_MSvalidate_subscription                                                                                                       sys                                                                                                                              stored procedure
sp_MSvalidate_wellpartitioned_articles                                                                                           sys                                                                                                                              stored procedure
sp_MSvalidatearticle                                                                                                             sys                                                                                                                              stored procedure
sp_MSwritemergeperfcounter                                                                                                       sys                                                                                                                              stored procedure
sp_objectfilegroup                                                                                                               sys                                                                                                                              stored procedure
sp_oledb_database                                                                                                                sys                                                                                                                              stored procedure
sp_oledb_defdb                                                                                                                   sys                                                                                                                              stored procedure
sp_oledb_deflang                                                                                                                 sys                                                                                                                              stored procedure
sp_oledb_language                                                                                                                sys                                                                                                                              stored procedure
sp_oledb_ro_usrname                                                                                                              sys                                                                                                                              stored procedure
sp_oledbinfo                                                                                                                     sys                                                                                                                              stored procedure
sp_ORbitmap                                                                                                                      sys                                                                                                                              stored procedure
sp_password                                                                                                                      sys                                                                                                                              stored procedure
sp_peerconflictdetection_tableaug                                                                                                sys                                                                                                                              stored procedure
sp_pkeys                                                                                                                         sys                                                                                                                              stored procedure
sp_posttracertoken                                                                                                               sys                                                                                                                              stored procedure
sp_primary_keys_rowset                                                                                                           sys                                                                                                                              stored procedure
sp_primary_keys_rowset_rmt                                                                                                       sys                                                                                                                              stored procedure
sp_primary_keys_rowset2                                                                                                          sys                                                                                                                              stored procedure
sp_primarykeys                                                                                                                   sys                                                                                                                              stored procedure
sp_procedure_params_100_managed                                                                                                  sys                                                                                                                              stored procedure
sp_procedure_params_100_rowset                                                                                                   sys                                                                                                                              stored procedure
sp_procedure_params_100_rowset2                                                                                                  sys                                                                                                                              stored procedure
sp_procedure_params_90_rowset                                                                                                    sys                                                                                                                              stored procedure
sp_procedure_params_90_rowset2                                                                                                   sys                                                                                                                              stored procedure
sp_procedure_params_managed                                                                                                      sys                                                                                                                              stored procedure
sp_procedure_params_rowset                                                                                                       sys                                                                                                                              stored procedure
sp_procedure_params_rowset2                                                                                                      sys                                                                                                                              stored procedure
sp_procedures_rowset                                                                                                             sys                                                                                                                              stored procedure
sp_procedures_rowset2                                                                                                            sys                                                                                                                              stored procedure
sp_processlogshippingmonitorhistory                                                                                              sys                                                                                                                              stored procedure
sp_processlogshippingmonitorprimary                                                                                              sys                                                                                                                              stored procedure
sp_processlogshippingmonitorsecondary                                                                                            sys                                                                                                                              stored procedure
sp_processlogshippingretentioncleanup                                                                                            sys                                                                                                                              stored procedure
sp_procoption                                                                                                                    sys                                                                                                                              stored procedure
sp_prop_oledb_provider                                                                                                           sys                                                                                                                              stored procedure
sp_provider_types_100_rowset                                                                                                     sys                                                                                                                              stored procedure
sp_provider_types_90_rowset                                                                                                      sys                                                                                                                              stored procedure
sp_provider_types_rowset                                                                                                         sys                                                                                                                              stored procedure
sp_publication_validation                                                                                                        sys                                                                                                                              stored procedure
sp_publicationsummary                                                                                                            sys                                                                                                                              stored procedure
sp_publishdb                                                                                                                     sys                                                                                                                              stored procedure
sp_publisherproperty                                                                                                             sys                                                                                                                              stored procedure
sp_readerrorlog                                                                                                                  sys                                                                                                                              stored procedure
sp_recompile                                                                                                                     sys                                                                                                                              stored procedure
sp_redirect_publisher                                                                                                            sys                                                                                                                              stored procedure
sp_refresh_heterogeneous_publisher                                                                                               sys                                                                                                                              stored procedure
sp_refresh_log_shipping_monitor                                                                                                  sys                                                                                                                              stored procedure
sp_refreshsqlmodule                                                                                                              sys                                                                                                                              stored procedure
sp_refreshsubscriptions                                                                                                          sys                                                                                                                              stored procedure
sp_refreshview                                                                                                                   sys                                                                                                                              stored procedure
sp_register_custom_scripting                                                                                                     sys                                                                                                                              stored procedure
sp_registercustomresolver                                                                                                        sys                                                                                                                              stored procedure
sp_reinitmergepullsubscription                                                                                                   sys                                                                                                                              stored procedure
sp_reinitmergesubscription                                                                                                       sys                                                                                                                              stored procedure
sp_reinitpullsubscription                                                                                                        sys                                                                                                                              stored procedure
sp_reinitsubscription                                                                                                            sys                                                                                                                              stored procedure
sp_releaseapplock                                                                                                                sys                                                                                                                              stored procedure
sp_remoteoption                                                                                                                  sys                                                                                                                              stored procedure
sp_removedbreplication                                                                                                           sys                                                                                                                              stored procedure
sp_removedistpublisherdbreplication                                                                                              sys                                                                                                                              stored procedure
sp_removesrvreplication                                                                                                          sys                                                                                                                              stored procedure
sp_rename                                                                                                                        sys                                                                                                                              stored procedure
sp_renamedb                                                                                                                      sys                                                                                                                              stored procedure
sp_repladdcolumn                                                                                                                 sys                                                                                                                              stored procedure
sp_replcleanupccsprocs                                                                                                           sys                                                                                                                              stored procedure
sp_repldeletequeuedtran                                                                                                          sys                                                                                                                              stored procedure
sp_repldropcolumn                                                                                                                sys                                                                                                                              stored procedure
